# 文本key,文本value
content_title_desc_1026,<TDNormal>Соберите немного</> <TDItem>каменной руды</> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте ее на склад секты</> <TDItem>в</>Шкаф для материалов <TDNormal></> <TDItem></> <TDNormal></>
content_title_desc_1027,<TDNormal>Соберите немного</> <TDItem>медной руды</> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте ее на склад секты</> <TDItem>в</>Шкаф для материалов <TDNormal></> <TDItem></> <TDNormal></>
content_title_desc_1028,<TDNormal>Посадите и соберите немного </> <TDItem>Крапивы</> <TDNum>「{0} / {1}」 </> <TDNormal>и отнесите их на склад Секты </> <TDItem></> <TDNormal>в </> <TDItem>Шкаф для материалов</>
content_title_desc_1029,<TDNormal>Перевезти немного </>железной руды </> <TDNum>「{0} / {1}」</> <TDNormal>в Секту </> <TDItem>Павильон Ланья</>
content_title_desc_103,<TDNormal>「{0}」reaches </> <TDName>「{1}」</>
content_title_desc_1030,<TDNormal>Соберите немного</> <TDItem>солодки</> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте на склад секты</> <TDItem>склад</> <TDNormal ></> <TDItem>шкаф для материалов</> <TDNormal></>
content_title_desc_1031,<TDNormal>Соберите немного</> <TDItem>Сан-Ци</> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте на склад секты</> <TDItem>склад</> <TDNormal ></> <TDItem>шкаф для материалов</> <TDNormal></>
content_title_desc_1032,<TDNormal>Соберите немного</> <TDItem>майских лилий </> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте на склад секты</> <TDItem>склад</> <TDNormal ></> <TDItem>шкаф для материалов</> <TDNormal></>
content_title_desc_1033,<TDNormal>Отнеси немного </>солодки </> <TDNum>「{0} / {1}」</> <TDNormal>в клинику Секты </> <TDItem></>
content_title_desc_1034,<TDNormal>Перевезти несколько </> <TDItem>Сан-Ци </> <TDNum>「{0} / {1}」</> <TDNormal>в клинику Секты </> <TDItem></>
content_title_desc_1035,<TDNormal>Перевезти несколько </>майских лилий </> <TDNum>「{0} / {1}」</> <TDNormal>в клинику Секты </> <TDItem></>
content_title_desc_1036,<TDNormal>Соберите немного</> <TDItem>Теплого нефрита</> <TDNum>「{0} / {1}」</> <TDNormal> и отправьте на склад секты</> <TDItem>склад</> <TDNormal ></> <TDItem>шкаф для материалов</> <TDNormal></>
content_title_desc_1037,<TDNormal>Охраняйте </> <TDItem>「{0}」</>
content_title_desc_104,<TDNormal>Получить 「{0}」 Навыки</>
content_title_desc_105,<TDNormal>Активировать 「{0}」 Внутреннее Кунгфу</>
content_title_desc_106,<TDNormal>Оплатите</> <TDName>「{0}」</> <TDNormal>членам</> <TDNum>1</> <TDItem>снаряжение высшего уровня</> <TDNormal>
content_title_desc_107,<TDNormal>Ability 「{0}」reaches 「{1}」</>
content_title_desc_2,<TDNormal>Помощь </> <TDName>「{0}「{1}」 </> <TDNormal>получить</> <TDItem>「{2}」</> <TDNum>「{3} / {4}」</>
content_title_desc_20000,<TDNormal>Отдайте </> <TDName>「{0}「{1}」</> <TDNum>1000</> <TDNormal>Монеты</>
content_title_desc_21000,<TDNormal>Создайте </> <TDItem>「{0}」</>
content_title_desc_21001,<TDNormal>Украсить руководство по кунг-фу </> <TDItem>「Истребление」</> <TDNormal> из зала секты и передать его </> <TDName>「{0}</>
content_title_desc_21002,<TDNormal>Отправляйтесь к Драконьей Голове Желания и найдите Камень Просвещения
content_title_desc_21003,<TDNormal>Приобретите Внутреннее Кунгфу в Обучении</>
content_title_desc_21004,<TDNormal>Сплетите Механизм</>
content_title_desc_21005,<TDNormal>Укротите {0}</>
content_title_desc_21006,<TDNormal>Присоединяйтесь {0}</>
content_title_desc_21007,<TDNormal>Найдите Камень Просветления в регионе {0}</>
content_title_desc_3,<TDNormal>Помощь </> <TDName>「{0}「{1}」 </> <TDNormal>получить</> <TDItem>「{2}」</> <TDNum>「{3} / {4}」</>
content_title_desc_30000,<TDNormal>Перейдите на сайт соревнований по кунг-фу и выберите флаг для участия до начала мероприятия</>
content_title_desc_4,<TDNormal>Помогите </> <TDName>「{0}「{1}」</> <TDNormal>вылечить недуг</>
content_title_desc_5,<TDNormal>Найдите </> <TDName>「{0}「{1}」</> <TDNormal> и отдайте их голову</> <TDName>「{2}「{3}」</> <TDNormal>
content_title_desc_6,<TDNormal>Помогите </> <TDName>「{0}「{1}」</> <TDNormal>завершить его </> <TDItem>「{2}」</> <TDNormal>здание</>
continue_argument_tips,Выберите дюйм
cook_cook,Готовить
cook_recipe,Формула приготовления
cook_recipe_desc,Выберите формулу для автозаполнения ингредиентов
cook_recipe_hover,<Cook1>Необходимые материалы</>\\n{0}\\n\\n<Cook1>Эффект костра</>\\n{1}
cook_stuff,Готовить еду
cook_stuff_desc,Добавить ингредиенты и попробовать приготовить
craft_ability_desc_0,"Можно использовать, когда приобретена способность {0}"
craft_ability_desc_1,Требуется способность {0} (новичок)
craft_ability_desc_2,Требуется способность {0} (эксперт)
craft_ability_desc_3,Требуется способность {0} (ветеран)
craft_ability_desc_4,Требуется способность {0} (Мастер)
craft_ability_desc_5,Требуется способность {0} (Гуру)
craft_ability_desc_6,Требуется способность {0} (Мудрец)
craft_part_name_0,Плетеная шляпа
craft_part_name_1,Плетение одежды
craft_part_name_2,тканные штаны
craft_part_name_3,Выковать оружие
craft_part_name_4,Создать скрытое оружие
create_character_1,Выберите происхождение
create_character_2,"Удерживайте, чтобы просмотреть сведения о родителях"
cure_npc_disease_info,Вы вылечили {0} недугов. Их сродство к вам возросло. \\n{1}
defect_stuff,(Отсутствует)
defense_level_desc_1,「Зелёная рука」 
defense_level_desc_2,「Отличное начало」 
defense_level_desc_3,「Потрясающая координация」 
defense_level_desc_4,「Невероятная ловкость」 
defense_level_desc_5,「Мастерство」 
defense_level_desc_6,「Изысканный эксперт」 
defense_level_desc_7,「Высший」 
defense_level_desc_8,「Легендарный」 
defense_level_desc_9,「Трансцендентный」 
delegation_bonus,Награда:
delegation_bonus_item,{0} x {1}
delegation_demand,Цель:
delegation_demand_item,{0} x {1}
delegation_demand_kill,Убить {0}
delegation_demand_lesson,Преподавать {0} урок
delegation_demand_message,Доставить сообщение в {0}
delegation_demand_pokemon,Нужен {0}
delegation_demand_prison,Тюремное заключение {0}
delegation_publisher,Клиент: {0}
delegation_title_1,Я мог бы использовать напиток.
delegation_title_10,"Добрый мастер, пощадись немного вина."
delete_carriage_desc,После разборки предметы в карете возвращаются в ваш рюкзак. Продолжить?
delete_relation_content,{0} решает покончить с вами {1}! !!
deng_fen_function,Разделить поровну
desc_210000_fun_1,"<AbDesc>Чем выше уровень вашей техники, тем быстрее вы восстанавливаете энергию во время медитации.</>\\n<AbDesc> [Универсальный приём] Создает 1 Универсальный приём за каждый ход</>"
desc_210000_fun_2,"<AbDesc>[Комбо приём] При соединении с 4 одинаковыми приёмов, добавляет 1 такой же приём</>"
desc_210000_fun_3,"<AbDesc>[Неожиданный приём] Когда используется более 3-х различных приёмов, добавляется 1 приём</>"
desc_210000_fun_4,<AbDesc>[Защитный приём] Создает 1 Защитный приём каждый ход</>
desc_210000_fun_5,<AbDesc>[Техника] Гуру</>
desc_210000_fun_6,"<AbDesc> Улучшает Универсальный приём, Комбинированный приём, Изменяемый приём, Неожиданный приём, Защитный приём</>"
desc_210000_up_1,"<NengLiJinJie>「Для начала」 Практикуйтесь в рубке дров, добыче полезных ископаемых и собирательстве</>"
desc_210000_up_2,"<NengLiJinJie>「Стать Экспертом」 Практикуйтесь в рубке дров, добыче полезных ископаемых и собирательстве</>"
desc_210000_up_3,"<NengLiJinJie>「Стать Ветераном」 Практикуйтесь в рубке дров, добыче полезных ископаемых и собирательстве</>"
desc_210000_up_4,<NengLiJinJie>「Стать Мастером」 Практика через медитацию</>
desc_210000_up_5,<NengLiJinJie>「Стать Гуру」 Практика через медитацию</>
desc_210000_up_6,"<NengLiJinJie>「Стать Мудрецом」 Учитесь у Мудреца, обладающего такой способностью</>"
desc_210005_fun_1,<AbDesc>Обладаеть необыкновенной способностью к прыжкам</>
desc_210005_fun_2,<AbDesc>Увеличивает скорость бега на 5%</>
desc_210005_fun_3,"<AbDesc>Увеличивает скорость бега на 5%.</>\\n<AbDesc> Улучшает способность к прыжкам и уклонению, двойной прыжок</>"
desc_210005_fun_4,<AbDesc>Снижает потребление энергии на 15% при беге с Цигуном</>
desc_210005_fun_5,"<AbDesc>Увеличивает скорость бега на 5%.</>\\n<AbDesc>Значительно улучшает способность к прыжкам и уклонению, тройной прыжок</>"
desc_210005_fun_6,<AbDesc>Восстанавливает энергию при беге на основе ваших техник</>
desc_210005_up_1,<NengLiJinJie>「Как начать」 Практикуйтесь в беге</>
desc_210005_up_2,<NengLiJinJie>「Стать Экспертом」 Получите у Камня Просвещения на Платформе Орлиной Охоты</>
desc_210005_up_3,<NengLiJinJie>「Стать Ветераном」 Получите у Камня Просвещения в Стоунвудсе Зеркального озера</>
desc_210005_up_4,<NengLiJinJie>「Стать Мастером」 Практика прыжками</>
desc_210005_up_5,<NengLiJinJie>「Стать Гуру」 Получить у Камня Просветления в Стоунвудсе Зеркального озера</>
desc_210005_up_6,<NengLiJinJie>「Стать Мудрецом」 Практика прыжками</>
desc_210006_fun_1,<AbDesc>Можно выковать обычное снаряжение в печи</>
desc_210006_fun_2,<AbDesc>Есть шанс выковать улучшенное снаряжение</>
desc_210006_fun_3,<AbDesc>Есть шанс получить 1 дополнительное снаряжение того же типа при ковке</>
desc_210006_fun_4,<AbDesc>Есть шанс создать легендарное снаряжение</>
desc_210006_fun_5,<AbDesc>Увеличивает шанс создания улучшенного и легендарного снаряжения</>
desc_210006_fun_6,<AbDesc>Созданное снаряжение получает еще 1 модификатор</>
desc_210006_up_1,<NengLiJinJie>「Для начала」 Обратитесь за советом к Управляющему кузницей</>
desc_210006_up_2,<NengLiJinJie>「Стать Экспертом」 Создайте снаряжение в печи</>
desc_210006_up_3,<NengLiJinJie>「Стать Ветераном」 Создайте снаряжение в печи</>
desc_210006_up_4,<NengLiJinJie>「Стать Мастером」 Создайте снаряжение в Печь</>
desc_210006_up_5,<NengLiJinJie>「Стать Гуру」 Создайте снаряжение в печи</>
desc_210006_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Ои]</>"
desc_210007_fun_1,<AbDesc>Хорошо разбирается в механизмах и замках. Вероятность успеха увеличивается с повышением уровня мастерства</>
desc_210007_fun_2,<AbDesc>Увеличивает скорость взлома</>
desc_210007_fun_3,<AbDesc>Вы можете отпирать сундуки</>
desc_210007_fun_4,<AbDesc>Вы можете отпирать полки с оружием и книжные шкафы</>
desc_210007_fun_5,<AbDesc>Увеличивает вероятность успешной кражи</>
desc_210007_fun_6,"<AbDesc>Шанс совершить совершенную кражу, не совершив правонарушения и не будучи обнаруженным. Шанс зависит от уровня Геомантии</>"
desc_210007_up_1,<NengLiJinJie>「Начать」 Обучаться взлому и краже</>
desc_210007_up_2,<NengLiJinJie>「Стать Экспертом」 Обучаться взлому и краже</>
desc_210007_up_3,<NengLiJinJie>「Стать Ветераном」 Обучаться взлому и краже</>
desc_210007_up_4,<NengLiJinJie>「Стать Мастером」 Обучаться взлому и краже</>
desc_210007_up_5,<NengLiJinJie>「Стать Гуру」 Обучаться взлому и воровство</>
desc_210007_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Лиу]</>"
desc_210008_fun_1,<AbDesc>Обладать способностью лазать по скалам</>
desc_210008_fun_2,<AbDesc>Увеличивает скорость лазания на 10%</>
desc_210008_fun_3,<AbDesc>Увеличивает скорость лазания на 10%</>
desc_210008_fun_4,<AbDesc>Увеличивает скорость лазания на 10%</>
desc_210008_fun_5,<AbDesc>Увеличивает скорость лазания на 10%</>
desc_210008_fun_6,<AbDesc>Вы можете восстанавливать энергию во время лазания</>
desc_210008_up_1,<NengLiJinJie>「Начать」 Многократные прыжковые практики</>
desc_210008_up_2,<NengLiJinJie>「Стать Экспертом」 Практика скалолазания</>
desc_210008_up_3,<NengLiJinJie>「Стать Ветераном」 Практика скалолазания</>
desc_210008_up_4,<NengLiJinJie>「Стать Мастером」 Практика скалолазания</>
desc_210008_up_5,<NengLiJinJie>「Стать Гуру」 Практика скалолазания</>
desc_210008_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Лиу]</>"
desc_210009_fun_1,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_fun_2,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_fun_3,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_fun_4,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_fun_5,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_fun_6,<AbDesc>Разблокирует рецепты зелий и пилюль</>
desc_210009_up_1,<NengLiJinJie>「Для начала」 Обратитесь за советом к менеджеру клиники</>
desc_210009_up_2,<NengLiJinJie>「Стать Экспертом」 Варите зелья в Горниле</>
desc_210009_up_3,<NengLiJinJie>「Стать Ветераном」 Варите зелья в Горниле</>
desc_210009_up_4,<NengLiJinJie>「Стать Мастером」 Приготовьте зелья в Crucible</>
desc_210009_up_5,<NengLiJinJie>「Стать Гуру」 Приготовь зелья в Crucible</>
desc_210009_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Джи]</>"
desc_210010_fun_1,<AbDesc>Может изготавливать грубые приспособления на ткацком станке</>
desc_210010_fun_2,<AbDesc>Есть шанс изготовить улучшенное снаряжение</>
desc_210010_fun_3,<AbDesc>Увеличен шанс получения улучшенного снаряжения</>
desc_210010_fun_4,<AbDesc>Увеличен шанс получения улучшенного снаряжения</>
desc_210010_fun_5,<AbDesc>Производит усовершенствованное снаряжение или лучше</>
desc_210010_fun_6,<AbDesc>Есть шанс создать легендарное снаряжение</>
desc_210010_up_1,<NengLiJinJie >「Для начала」 Обратитесь за советом к менеджеру магазина тканей</>
desc_210010_up_2,<NengLiJinJie>「Стать Экспертом」 Создание на ткацком станке</>
desc_210010_up_3,<NengLiJinJie>「Стать Ветераном」 Изготовление Снаряжение на Ткацкий станок</>
desc_210010_up_4,<NengLiJinJie>「Стать Мастером」 Изготавливайте снаряжение на ткацком станке</>
desc_210010_up_5,<NengLiJinJie>「Стать Гуру」 Изготавливайте снаряжение на ткацком станке</>
desc_210010_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Ху]</>"
desc_210011_0,<AbDesc>В разработке. Оставайтесь с нами! </>
desc_210011_0_lilian,<AbDesc>В разработке. Оставайтесь с нами! </>
desc_210011_fun_1,<AbDesc>Открывает рецепты предметов</>
desc_210011_fun_2,<AbDesc>Открывает рецепты предметов</>
desc_210011_fun_3,<AbDesc>Открывает рецепты предметов</>
desc_210011_fun_4,<AbDesc>Открывает рецепты предметов</>
desc_210011_fun_5,<AbDesc>Открывает рецепты предметов</>
desc_210011_fun_6,<AbDesc>Открывает рецепты предметов</>
desc_210011_up_1,<NengLiJinJie>「Начать」 Изготовить второстепенные предметы в рюкзаке</>
desc_210011_up_2,<NengLiJinJie>「Стать Экспертом」 Изготовить предметы</>
desc_210011_up_3,<NengLiJinJie>「Стать Ветераном」 Изготовить предметы</>
desc_210011_up_4,<NengLiJinJie>「Стать Мастером」 Изготовить предметы</>
desc_210011_up_5,<NengLiJinJie>「Стать Гуру」 Изготовить Предметы</>
desc_210011_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Мо]</>"
desc_210012_fun_1,<AbDesc>Позволяет бесплатно возводить любые здания и разблокировать модуль строительства</>
desc_210012_fun_2,<AbDesc>Открывает более продвинутый модуль строительства</>
desc_210012_fun_3,<AbDesc>Открывает более продвинутый модуль строительства</>
desc_210012_fun_4,<AbDesc>Открывает более продвинутый модуль строительства</>
desc_210012_fun_5,<AbDesc>Открывает более продвинутый модуль строительства</>
desc_210012_fun_6,<AbDesc>Открывает более продвинутый модуль строительства</>
desc_210012_up_1,<NengLiJinJie>「Начать」 Построить соответствующие здания</>
desc_210012_up_2,<NengLiJinJie>「Стать Экспертом」 Построить соответствующие здания</>
desc_210012_up_3,<NengLiJinJie>「Стать Ветераном」 Построить соответствующие здания</>
desc_210012_up_4,<NengLiJinJie>「Стать Мастером」 Построить соответствующие здания</>
desc_210012_up_5,<NengLiJinJie>「Стать Гуру」 Построить соответствующие здания</>
desc_210012_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Гонджу]</>"
desc_210013_fun_1,Потерявших сознание животных можно приручить\\n<TDName>[[Лошади]</> можно ездить верхом или запрягаться в повозку]\\n<TDName>[[Орлы]</> могут войти в режим Ястребиного глаза и помочь отслеживать цели]\\n<TDName>[[Обезьяны]</> могут просить милостыню и доставлять ресурсы]\\n<TDName>[[Змеи]</> могут вскрывать замки и использовать яд]\\n<TDName>[[Курицы]</> могут помочь найти сокровища]\\n<TDName>[[Куры]</> могут нести яйца]
desc_210013_fun_2,Разблокировать файтингу Beast
desc_210013_fun_3,В каждом раунде битвы о звере вы получите 1 обновление и номер улучшения.
desc_210013_fun_4,"При обучении боевого зверя вероятность наследственного таланта увеличивается на 10%.Интерфейс улучшения обучения будет обновляться один раз в бесплатный каждый раз, когда он будет улучшен."
desc_210013_fun_5,Получить 2 дополнительного времени обновления и улучшения за раунд в борьбе за зверя
desc_210013_fun_6,"Вы можете напрямую приручить специальных животных, а новые животные, полученные с борьбой с животными, могут быть укреплены 3 раза."
desc_210013_up_1,<NengLiJinJie>「Для начала」 Сделайте простую ловушку или ученика с помощью управляющего конюшней</>
desc_210013_up_2,"[Продвинутые навыки] Получите опыт, делая простые ловушки, борьбу с зверями и приручив животных </>"
desc_210013_up_3,"«Незначительные продвинутые достижения» получают опыт, создавая простые ловушки, борьбу с зверями и укрощение животных </>"
desc_210013_up_4,"[Advanced Mastery] Получите опыт, делая простые ловушки, сражаясь с животными и укротив животных </>"
desc_210013_up_5,"«Advanced Mastery» сделайте простые ловушки, сражайтесь с зверями и ручными животными, чтобы получить опыт </>"
desc_210013_up_6,"«Дополнительно и завершенные», сделайте простые ловушки, борьбу с зверями и ручными животными, чтобы получить опыт </>"
desc_210014_fun_1,<AbDesc>Открывает рецепты еды</>
desc_210014_fun_2,<AbDesc>Открывает рецепты еды</>
desc_210014_fun_3,<AbDesc>Открывает рецепты еды</>
desc_210014_fun_4,<AbDesc>Открывает рецепты еды</>
desc_210014_fun_5,<AbDesc>Открывает рецепты еды</>
desc_210014_fun_6,<AbDesc>Открывает рецепты еды</>
desc_210014_up_1,<NengLiJinJie>「Начать」 Практика готовки на костре</>
desc_210014_up_2,<NengLiJinJie>「Стать Экспертом」 Практика готовки на костре</>
desc_210014_up_3,<NengLiJinJie>「Стать Ветераном」 Практика готовки на костре</>
desc_210014_up_4,<NengLiJinJie>「Стать Мастером」 Практика готовки на костре</>
desc_210014_up_5,<NengLiJinJie>「Стать Гуру」 Практика готовки на Костер</>
desc_210014_up_6,"<NengLiJinJie>「Стать Мудрецом」 Учитесь у Мудреца, обладающего такой способностью</>"
desc_210015_fun_1,<AbDesc>Увеличивает толерантность к алкоголю до 5</>
desc_210015_fun_2,<AbDesc>Увеличивает толерантность к алкоголю до 10</>
desc_210015_fun_3,<AbDesc>Увеличивает толерантность к алкоголю до 15</>
desc_210015_fun_4,<AbDesc>Увеличивает толерантность к алкоголю до 20</>
desc_210015_fun_5,<AbDesc>Увеличивает толерантность к алкоголю до 25</>
desc_210015_fun_6,<AbDesc>Увеличивает толерантность к алкоголю до 30</>
desc_210015_up_1,<NengLiJinJie>「Для начала」 Практикуйтесь в выпивке</>
desc_210015_up_2,<NengLiJinJie>「Стать Экспертом」 Практикуйтесь в выпивке</>
desc_210015_up_3,<NengLiJinJie>「Стать Ветераном」 Практикуйтесь в выпивке</>
desc_210015_up_4,<NengLiJinJie>「Стать Мастером」 Практикуйтесь в выпивке</>
desc_210015_up_5,<NengLiJinJie>「Стать Гуру」 Практикуйтесь в выпивке</>
desc_210015_up_6,<NengLiJinJie>「Стать Мудрецом」 Практика с помощью питья</>
desc_210016_fun_1,<AbDesc>Игра дает музыкальный опыт</>
desc_210016_fun_2,"<AbDesc>Игра дает музыкальный опыт, открывая более продвинутые результаты</>"
desc_210016_fun_3,"<AbDesc>Игра дает музыкальный опыт, открывая более продвинутые результаты</>"
desc_210016_fun_4,"<AbDesc>Игра дает музыкальный опыт, открывая более продвинутые результаты</>"
desc_210016_fun_5,"<AbDesc>Игра дает музыкальный опыт, открывая более продвинутые результаты</>"
desc_210016_fun_6,<AbDesc>Мудрец в музыке</>
desc_210016_up_1,<NengLiJinJie>「Как Начать」 Практикуйтесь играя на цинтре в Музыкальном доме</>
desc_210016_up_2,<NengLiJinJie>「Стать Экспертом」 Практикуйтесь играя на цинтре в Музыкальном доме</>
desc_210016_up_3,<NengLiJinJie>「Стать Ветераном」 Практикуйтесь играя на цинтре в Музыкальном доме</>
desc_210016_up_4,<NengLiJinJie>「Стать Мастером」 Практикуйтесь играя на цинтре в Музыкальном доме</>
desc_210016_up_5,<NengLiJinJie>「Стать Гуру」 Практикуйтесь играя на цинтре в Музыкальном доме</>
desc_210016_up_6,"<NengLiJinJie>「Стать Мудрецом」 Говорят, это тайное знание [семьи Ши]</>"
desc_210017_fun_1,<AbDesc>Шахматы</>
desc_210017_up_1,<NengLiJinJie>「Как Начать」 Под разработкой</>
desc_210018_fun_1,<AbDesc>Каллиграфия</>
desc_210018_up_1,<NengLiJinJie>「Как Начать」 Под разработкой</>
desc_210019_fun_1,<AbDesc>Живопись</>
desc_210019_up_1,<NengLiJinJie>「Как Начать」 Под разработкой</>
desc_210020_fun_1,<AbDesc>Поэзия</>
desc_210020_up_1,<NengLiJinJie>「Как Начать」 Под разработкой</>
desc_210021_fun_1,<AbDesc>Каждое очко в Полете по снегу увеличивает переносимый вес на 10</>
desc_210021_fun_2,
desc_210021_fun_3,
desc_210021_fun_4,
desc_210021_fun_5,
desc_210021_fun_6,
desc_210021_up_1,<NengLiJinJie>「Как Начать」 Двигайся с полной нагрузкой</>
desc_210021_up_2,<NengLiJinJie>「Стать Экспертом」 Двигайся с полной нагрузкой</>
desc_210021_up_3,<NengLiJinJie>「Стать Ветераном」 Двигайся с полной нагрузкой</>
desc_210021_up_4,<NengLiJinJie>「Стать Мастером」 Двигайся с полной нагрузкой</>
desc_210021_up_5,<NengLiJinJie>「Стать Гуру」 Двигайся с полной нагрузкой</>
desc_210021_up_6,<NengLiJinJie>「Стать Мудрецом」 Двигайся с полной нагрузкой</>
desc_210022_fun_1,<AbDesc>Снижает потребление энергии для Цигуна по воде</>
desc_210022_fun_2,<AbDesc>Увеличивает скорость плавания на 15%.</>
desc_210022_fun_3,<AbDesc>Увеличивает скорость плавания на 15%.</>
desc_210022_fun_4,<AbDesc>Уменьшает потребление энергии при плавании на 15%.</>
desc_210022_fun_5,<AbDesc>Увеличивает скорость плавания на 15%.</>
desc_210022_fun_6,<AbDesc>Вы можете восстанавливать энергию во время плавания.</>
desc_210022_up_1,<NengLiJinJie>「Как начать」 Прыжки по воде</>
desc_210022_up_2,<NengLiJinJie>「Стать Экспертом」 Прыжки на воде</>
desc_210022_up_3,<NengLiJinJie>「Стать Ветераном」 Прыжки по воде</>
desc_210022_up_4,<NengLiJinJie>「Стать Мастером」 Прыжки по воде</>
desc_210022_up_5,<NengLiJinJie>「Стать Гуру」 Прыжки по вода</>
desc_210022_up_6,"<NengLiJinJie>「Стань Мудрецом」 Говорят, это тайное знание [семьи Лиу]</>"
desc_210023_fun_1,<AbDesc>Пока недоступно</>
desc_210023_fun_2,<AbDesc>Пока недоступно</>
desc_210023_fun_3,<AbDesc>Пока недоступно</>
desc_210023_fun_4,<AbDesc>Пока недоступно</>
desc_210023_fun_5,<AbDesc>Пока недоступно</>
desc_210023_fun_6,<AbDesc>Пока недоступно</>
desc_210023_up_1,<NengLiJinJie>「Как Начать」 Пока недоступно</>
desc_210023_up_2,<NengLiJinJie>「Стать Экспертом」Пока недоступно</>
desc_210023_up_3,<NengLiJinJie>「Стать ветераном」 Пока недоступно</>
desc_210023_up_4,<NengLiJinJie>「Стать Мастером」 Пока недоступно</>
desc_210023_up_5,<NengLiJinJie>「Стать Гуру」 Пока недоступно</>
desc_210023_up_6,<NengLiJinJie>「Стать Мудрецом」 Пока недоступно</>
desc_210024_fun_1,<AbDesc>Каждое очко в Железных костях повышает Макс. Кровь +10</>
desc_210024_fun_2,<AbDesc>Защита от урона приёмов +2</>
desc_210024_fun_3,<AbDesc>Защита от Контрприёмов +2</>
desc_210024_fun_4,<AbDesc>Защита от урона приёмов +3</>
desc_210024_fun_5,<AbDesc>Защита от Жары и Холода +1</>
desc_210024_fun_6,<AbDesc>Восстанавливает 1% крови после боя</>
desc_210024_up_1,<NengLiJinJie>「Как Начать」 Практиется получая удары</>
desc_210024_up_2,<NengLiJinJie>「Стать Экспертом」 Практиется получая удары</>
desc_210024_up_3,<NengLiJinJie>「Стать Ветераном」 Практиется получая удары</>
desc_210024_up_4,<NengLiJinJie>「Стать Мастером」 Практиется получая удары</>
desc_210024_up_5,<NengLiJinJie>「Стать Гуру」 Практиется получая удары</>
desc_210024_up_6,<NengLiJinJie>「Стать Мудрецом」 Практиется получая удары</>
desc_210025_fun_1,<AbDesc>Сила атаки Ладони +1 за каждое использование приёма Ладони</>
desc_210025_fun_2,<AbDesc>Получите 1 дополнительный приём Ладони</>
desc_210025_fun_3,"<AbDesc> Когда срабатывает Неожиданный приём Ладонью, в следующий ход урон от умений увеличивается на 15%</>"
desc_210025_fun_4,<AbDesc>Увеличивает урон от умений Ладони на 15%</>
desc_210025_fun_5,<AbDesc>Необходимость приёмов для Комбинированного приёма уменьшена на 1</>
desc_210025_fun_6,<AbDesc>После применения приёма Ладонью понижает уровень защиты противника на 1 на один ход</>
desc_210025_up_1,<NengLiJinJie>「Как Начать」 Используйте приёмы Ладони</>
desc_210025_up_2,<NengLiJinJie>「Стать Экспертом」 Используйте приёмы Ладони</>
desc_210025_up_3,<NengLiJinJie>「Стать Ветераном」 Используйте приёмы Ладони</>
desc_210025_up_4,<NengLiJinJie>「Стать Мастером」 Используйте приёмы Ладони</>
desc_210025_up_5,<NengLiJinJie>「Стать Гуру」 Используйте приёмы Ладони</>
desc_210025_up_6,<NengLiJinJie>「Стать Мудрецом」 Используйте приёмы Ладони</>
desc_210026_fun_1,<AbDesc>Сила атаки Кулака +1 за каждое использование приёма Кулака</>
desc_210026_fun_2,<AbDesc>Получите 1 дополнительный приём Кулака</>
desc_210026_fun_3,"<AbDesc> Когда срабатывает Неожиданный приём Кулака, в следующий ход урон от умений увеличивается на 15%</>"
desc_210026_fun_4,<AbDesc>Увеличивает урон от умений Кулаком на 15%</>
desc_210026_fun_5,<AbDesc>Необходимость приёмов для Комбинированного приёма уменьшена на 1</>
desc_210026_fun_6,<AbDesc>После применения приёма Кулака повышает защиту на 1 на один ход</>
desc_210026_up_1,<NengLiJinJie>「Как Начать」 Используйте приёмы Кулака</>
desc_210026_up_2,<NengLiJinJie>「Стать Экспертом」 Используйте приёмы Кулака</>
desc_210026_up_3,<NengLiJinJie>「Стать Ветераном」 Используйте приёмы Кулака</>
desc_210026_up_4,<NengLiJinJie>「Стать Мастером」 Используйте приёмы Кулака</>
desc_210026_up_5,<NengLiJinJie>「Стать Гуру」 Используйте приёмы Кулака</>
desc_210026_up_6,<NengLiJinJie>「Стать Мудрецом」 Используйте приёмы Кулака</>
desc_210027_fun_1,<AbDesc>Сила атаки Ног +1 за каждое использование приёма Ног</>
desc_210027_fun_2,<AbDesc>Получите 1 дополнительный приём Ног</>
